,exon_skipping,alternative_donor_site,alternative_acceptor_site,intron_retention,mutually_exclusive_exon,alternative_first_exon,alternative_last_exon,mutually_exclusive_exon-alternative_first_exon,mutually_exclusive_exon-alternative_last_exon
GO:0008134,7,0,2,0,0,5,3,2,1
GO:0003713,3,0,0,0,0,0,4,0,1
GO:0003712,5,0,1,0,0,1,4,0,1
GO:0003690,4,0,1,0,0,6,2,4,2
GO:0001067,5,0,2,0,0,3,0,2,0
GO:0000987,3,0,2,0,0,2,0,1,2
GO:0000978,3,0,2,0,0,2,0,1,2
GO:0000977,4,0,4,0,0,2,0,2,2
GO:0000976,5,0,2,0,0,3,0,2,0
GO:0098827,7,4,1,0,0,0,3,0,4
GO:0042175,6,4,0,0,0,0,3,0,4
GO:0031984,9,5,1,0,0,0,4,0,4
GO:0031090,14,10,2,0,0,4,9,2,7
GO:0012505,28,6,3,1,0,9,20,6,6
GO:0005789,7,4,1,0,0,0,3,0,4
GO:0005783,10,3,1,0,0,3,6,0,3
GO:0042169,1,0,1,0,0,1,0,0,0
GO:0019904,2,0,2,0,0,5,4,0,2
GO:0019901,4,0,1,0,0,4,2,0,1
GO:0019900,5,0,1,0,0,4,2,0,1
GO:0019899,11,3,2,0,0,8,6,3,8
GO:1903038,1,0,1,0,0,2,0,0,0
GO:1903037,2,1,1,0,0,2,2,1,0
GO:1902532,2,0,1,0,0,4,1,1,0
GO:1902531,7,2,2,0,0,7,6,2,3
GO:0071901,1,0,1,0,0,1,0,0,0
GO:0071900,2,1,1,0,0,3,1,0,0
GO:0065009,10,3,1,2,0,6,7,5,4
GO:0051716,29,2,2,0,0,12,18,3,5
GO:0051348,1,0,1,0,0,1,0,0,0
GO:0051338,2,1,1,0,0,3,1,0,0
GO:0051250,2,0,1,0,0,2,1,0,0
GO:0051249,4,1,1,0,0,2,4,1,0
GO:0051248,6,1,1,0,0,3,5,1,1
GO:0051246,17,2,1,0,0,5,11,2,4
GO:0051241,8,0,2,0,0,8,5,2,0
GO:0051239,13,6,2,1,0,11,9,4,5
GO:0051174,7,1,1,0,0,3,5,1,0
GO:0050868,1,0,1,0,0,2,0,0,0
GO:0050866,2,0,1,0,0,2,1,0,0
GO:0050865,5,1,1,0,0,1,3,1,0
GO:0050863,2,1,1,0,0,2,2,1,0
GO:0050790,9,1,1,0,0,5,4,3,6
GO:0048585,8,1,2,0,0,5,3,1,0
GO:0048583,18,6,6,2,0,12,8,2,8
