,exon_skipping,alternative_donor_site,alternative_acceptor_site,intron_retention,mutually_exclusive_exon,alternative_first_exon,alternative_last_exon,mutually_exclusive_exon-alternative_first_exon,mutually_exclusive_exon-alternative_last_exon
GO:0051174,28,5,3,1,0,17,15,7,8
GO:0050868,2,0,0,0,0,1,1,1,1
GO:0050866,10,4,1,0,0,1,6,5,1
GO:0050865,37,4,4,1,0,8,21,9,11
GO:0050863,18,0,2,1,0,4,9,4,11
GO:0050790,24,5,3,2,0,17,16,4,10
GO:0048585,50,11,14,2,0,10,24,13,15
GO:0048583,139,22,33,6,2,42,81,29,27
GO:0046649,12,0,4,0,1,2,3,4,2
GO:0045936,5,0,0,0,0,8,1,3,0
GO:0045859,8,3,0,0,0,8,9,3,4
GO:0045321,21,1,2,1,1,2,6,4,2
GO:0044092,18,1,5,0,0,11,8,3,4
GO:0043549,10,3,0,0,0,8,9,3,4
GO:0043409,1,1,0,1,0,1,1,1,1
GO:0043408,14,5,5,2,0,8,10,6,7
GO:0043407,1,0,0,0,0,0,0,1,0
GO:0043405,3,3,0,0,0,2,3,2,0
GO:0043086,8,1,1,0,0,9,5,1,3
GO:0042326,5,0,0,0,0,6,1,3,0
GO:0042325,23,5,1,1,0,15,15,7,6
GO:0042113,5,0,1,0,1,0,2,3,1
GO:0035556,39,2,10,5,2,18,19,6,6
GO:0033673,4,0,0,0,0,5,1,1,0
GO:0031400,5,0,0,0,0,10,3,4,0
GO:0031399,27,4,7,1,0,21,18,7,6
GO:0030155,30,3,2,1,0,10,11,6,11
GO:0023057,45,5,12,2,0,10,19,9,16
GO:0023052,128,13,26,4,2,39,84,25,22
GO:0022408,5,0,0,0,0,4,1,1,1
GO:0022407,26,2,2,1,0,10,11,6,11
GO:0019220,28,5,3,1,0,17,15,7,8
GO:0010648,44,5,12,2,0,10,19,9,16
GO:0010563,5,0,0,0,0,8,1,3,0
GO:0009968,43,5,12,2,0,10,18,9,16
GO:0009966,83,11,19,7,0,34,45,24,28
GO:0007165,121,13,25,4,2,37,78,23,23
GO:0007162,7,0,0,0,0,4,1,1,1
GO:0007154,127,12,27,4,2,38,84,25,21
GO:0006955,35,3,7,3,0,13,16,3,11
GO:0006469,4,0,0,0,0,5,1,1,0
GO:0002695,10,4,1,0,0,1,6,5,1
GO:0002694,37,3,5,1,0,6,19,8,11
GO:0002683,16,5,3,0,0,2,9,5,2
GO:0002682,76,10,21,1,0,14,41,11,6
GO:0002376,83,8,13,3,1,24,47,8,17
GO:0001933,5,0,0,0,0,6,1,3,0
GO:0001932,19,4,1,1,0,15,13,7,6
GO:0001775,22,1,3,1,1,4,9,6,4
GO:0005829,211,26,33,11,3,78,100,23,51
GO:0005794,39,4,15,3,4,13,32,15,11
GO:0036464,7,0,2,0,3,7,6,5,5
GO:0035770,7,1,3,0,3,9,6,5,5
GO:0000932,3,0,0,0,0,1,2,0,2
GO:0030054,58,11,10,0,0,33,19,9,25
GO:0140694,6,0,3,0,0,3,1,1,3
GO:0060429,13,2,1,1,0,11,8,6,8
GO:0009888,41,9,5,1,0,23,16,10,20
GO:0050905,7,0,2,0,1,0,2,1,0
GO:0050881,7,0,2,0,1,0,0,0,0
GO:0050879,7,0,2,0,1,0,0,0,0
GO:0050877,18,2,3,0,1,3,8,2,5
GO:0031023,2,2,0,0,0,0,1,0,0
GO:0030855,6,3,0,0,0,2,2,2,2
GO:0006941,6,0,2,0,1,0,0,0,0
GO:0006936,5,1,1,0,1,1,1,0,0
GO:0003012,8,1,4,0,1,1,3,1,5
GO:0003009,7,0,2,0,1,0,0,0,0
GO:0003008,19,3,5,0,1,8,13,3,11
GO:0048471,14,3,3,1,0,13,10,6,2
GO:0042383,1,0,0,0,0,2,2,0,1
GO:0016528,1,0,0,0,0,0,0,0,0
GO:0005814,0,0,0,0,0,0,0,0,2
GO:0043274,2,0,0,0,0,0,0,0,0
GO:0051641,48,7,13,2,1,18,34,13,16
GO:0050793,47,5,10,1,0,25,27,20,20
GO:0070727,32,1,7,0,0,9,20,7,8
GO:0033036,36,3,8,0,0,10,24,8,9
GO:0008104,32,1,7,0,0,8,20,7,8
GO:0065003,23,5,13,1,1,16,16,9,6
GO:0043933,24,5,13,1,1,16,16,10,6
GO:0051240,62,8,14,3,2,21,32,11,12
GO:0048584,99,11,23,6,0,25,45,15,23
GO:0051094,35,6,9,1,0,19,17,11,15
GO:0030097,10,0,1,0,0,4,2,5,6
GO:0023056,42,8,11,7,0,21,23,11,13
GO:0010647,42,8,11,7,0,21,23,11,13
GO:2000026,36,5,7,2,0,17,19,14,13
GO:0045595,33,5,3,2,0,18,20,12,16
GO:0009967,37,7,11,7,0,21,21,11,13
GO:0002521,10,0,0,0,0,2,0,5,2
GO:0050778,44,2,8,1,0,7,17,4,9
GO:0050776,50,6,17,1,0,9,24,5,2
GO:0002684,70,10,15,1,0,14,30,9,13
GO:0060284,23,3,3,1,0,6,7,6,11
GO:0045597,26,5,3,1,0,18,12,9,14
GO:0010720,13,0,2,1,0,3,2,2,7
GO:0045785,24,2,1,1,0,6,10,4,10
GO:1903708,12,0,1,1,0,2,1,2,8
GO:1903706,19,1,2,1,0,4,4,3,8
GO:1903131,6,0,0,0,0,1,0,3,1
GO:1903039,19,1,1,1,0,3,9,4,10
GO:1902107,12,0,1,1,0,2,1,2,8
GO:1902105,16,0,2,1,0,4,3,2,8
GO:0051251,26,0,4,1,0,4,13,3,10
GO:0050870,15,0,1,1,0,3,8,3,10
GO:0050867,26,0,4,1,0,5,13,3,10
GO:0050862,1,0,0,0,0,1,0,0,0
GO:0050857,1,0,0,0,0,1,0,0,0
GO:0050856,4,0,0,0,0,1,2,0,0
GO:0050854,5,0,1,0,0,1,2,0,0
GO:0045621,8,0,1,1,0,1,1,0,7
GO:0045619,9,0,1,1,0,1,1,0,7
GO:0045582,8,0,0,1,0,1,1,0,7
GO:0045580,9,0,0,1,0,1,1,0,7
GO:0042110,1,0,1,0,0,1,1,1,0
GO:0030217,0,0,0,0,0,1,0,1,0
GO:0030098,6,0,1,0,0,1,0,3,1
GO:0022409,21,2,1,1,0,6,10,4,10
GO:0002696,26,0,4,1,0,5,13,3,10
GO:0016740,34,3,2,1,0,12,32,1,12
GO:0016772,6,1,1,1,0,2,7,1,3
GO:0016773,4,0,2,1,0,2,4,2,1
GO:0016301,5,0,1,1,0,3,6,1,2
GO:1901564,48,9,14,1,0,31,36,12,34
GO:0044281,24,6,3,1,0,8,20,4,10
GO:0043436,3,0,2,1,0,2,3,1,6
GO:0019752,3,0,2,1,0,2,3,1,6
GO:0006082,3,0,2,1,1,2,3,1,6
GO:0006520,1,0,0,0,0,1,1,0,0
GO:1901605,2,0,0,0,0,1,0,0,0
GO:0009066,1,0,0,0,0,0,0,0,0
GO:0009056,18,3,5,1,1,16,16,1,5
GO:0044248,15,2,5,1,0,10,12,1,7
GO:1901575,16,2,4,2,1,14,13,1,5
GO:1901565,14,2,1,2,0,10,11,1,3
GO:0044282,2,0,2,0,1,0,2,0,1
GO:0046395,0,0,0,0,0,0,1,0,1
GO:0016054,0,0,0,0,0,0,1,0,1
GO:0005759,5,1,3,0,0,5,6,1,6
GO:0051213,1,0,0,0,0,0,1,0,0
GO:0016705,2,1,0,0,0,0,3,0,3
GO:0016706,1,0,0,0,0,0,1,0,0
GO:0043167,33,4,11,0,1,14,16,14,5
GO:0043169,24,2,5,0,0,10,10,12,4
GO:0046872,23,2,5,0,0,10,9,12,4
GO:0046914,11,1,3,0,0,4,7,4,2
GO:0042802,99,13,15,2,0,38,49,15,21
GO:0005506,1,1,1,0,0,0,2,0,1
GO:0046983,30,2,5,1,2,10,11,2,8
GO:0042803,24,2,4,1,0,10,9,2,8
GO:0140640,5,2,0,0,1,2,7,1,4
GO:0140098,3,0,0,0,0,2,2,0,3
GO:0140101,3,0,0,0,0,0,2,0,2
GO:0000049,0,0,0,0,0,0,1,0,1
GO:1901135,35,4,4,1,0,20,12,4,13
GO:1901566,17,2,2,1,0,5,11,2,10
GO:0034660,3,0,0,0,0,0,2,0,3
GO:1901137,11,2,1,1,0,5,7,2,6
GO:0006396,11,1,1,0,0,5,4,1,9
GO:0034470,3,0,0,0,0,0,2,0,3
GO:0008033,3,0,1,0,0,0,2,0,2
GO:0006399,4,0,1,0,0,0,2,0,2
GO:0006400,2,0,1,0,0,0,2,0,1
GO:1901659,1,0,0,1,0,0,1,1,0
GO:1901657,4,0,1,1,0,2,1,3,0
GO:0016853,5,0,0,0,0,0,4,0,2
GO:0036094,11,1,2,0,0,6,7,3,1
GO:0016854,2,0,0,0,0,0,1,0,1
GO:0048029,5,1,1,0,0,2,2,0,0
GO:0030246,11,0,1,0,0,1,6,0,0
GO:0042806,1,0,0,0,0,0,1,0,0
GO:0005975,6,1,1,0,0,2,5,1,4
GO:0005996,1,0,0,0,0,0,1,0,0
GO:0000003,40,6,3,0,0,18,21,8,17
GO:0022414,40,6,3,0,0,18,21,8,17
GO:0070085,5,1,1,0,0,0,4,2,3
GO:0032504,27,1,4,0,0,16,13,8,15
GO:0007610,8,2,1,0,0,4,3,2,1
GO:0019318,1,0,0,0,0,0,1,0,0
GO:0051093,10,4,1,1,0,3,8,7,6
GO:0045664,0,0,0,0,0,3,1,1,2
GO:0045596,6,3,0,1,0,2,5,5,5
GO:0006950,92,21,14,6,1,38,61,10,28
GO:0033554,53,9,5,4,0,21,28,2,20
GO:0006974,29,4,3,1,0,9,15,1,5
GO:0044260,30,2,4,2,0,11,23,4,16
GO:0006259,11,1,0,0,0,2,9,1,7
GO:0006281,8,2,0,0,0,1,10,1,6
GO:0006302,3,1,1,0,0,1,1,0,3
GO:0006261,1,0,0,0,0,2,2,0,0
GO:0006260,2,0,0,0,0,2,2,0,0
GO:0045005,0,0,1,0,0,0,0,0,0
GO:0031297,0,0,1,0,0,0,0,0,0
GO:0140535,19,1,2,1,0,10,12,1,7
GO:1905348,1,0,0,0,0,0,0,0,0
GO:0071705,14,1,8,0,0,0,14,8,3
GO:0052742,1,0,0,0,0,0,0,0,2
GO:0006796,21,3,5,0,0,5,14,3,16
GO:0006793,21,3,5,0,0,5,14,3,16
GO:0019637,17,3,3,0,0,4,9,0,7
GO:0090407,11,1,2,0,0,6,7,0,5
GO:0044255,24,0,3,1,0,15,7,3,12
GO:0006629,30,1,3,1,0,20,13,5,16
GO:0008610,8,3,3,1,0,3,5,1,5
GO:0046486,5,0,2,0,0,1,1,0,3
GO:0006650,5,0,2,0,0,0,0,0,4
GO:0006644,6,0,2,0,0,0,0,0,4
GO:0046488,5,0,2,0,0,0,0,0,2
GO:0046474,4,0,2,0,0,0,1,0,2
GO:0045017,4,1,2,0,0,0,1,0,2
GO:0008654,4,0,2,0,0,0,1,0,2
GO:0006661,4,0,2,0,0,0,0,0,2
GO:0007018,0,0,0,0,0,1,2,2,1
GO:0035082,2,0,0,0,0,1,1,0,1
GO:0001578,2,0,0,0,0,1,1,0,1
GO:0070286,2,0,0,0,0,0,1,0,1
GO:0036158,2,0,0,0,0,0,1,0,1
GO:0099568,5,0,0,0,0,2,2,3,0
GO:0097014,5,0,0,0,0,2,2,3,0
GO:0032838,5,0,0,0,0,2,2,3,0
GO:0005930,5,0,0,0,0,2,2,3,0
GO:1901503,0,0,0,0,0,0,1,0,0
GO:0097384,0,0,0,0,0,0,1,0,0
GO:0046504,0,0,0,0,0,0,1,0,0
GO:0046485,0,0,0,0,0,0,1,0,0
GO:0018904,0,0,0,0,0,0,1,0,0
GO:0008611,0,0,0,0,0,0,1,0,0
GO:0006662,0,0,0,0,0,0,1,0,0
GO:0060089,44,5,6,0,1,5,28,3,17
GO:0038023,44,5,6,0,1,5,28,3,17
GO:0022803,6,2,1,1,0,1,8,0,1
GO:0015267,6,2,1,1,0,1,8,0,1
GO:0005216,6,2,1,1,0,1,7,0,1
GO:0022836,4,1,0,0,0,0,5,2,0
GO:0022839,4,1,0,0,0,0,5,2,0
GO:0022834,3,1,0,0,0,0,4,0,0
GO:0015276,3,1,0,0,0,0,4,0,0
GO:0005230,2,0,0,0,0,0,2,0,0
GO:0022835,1,0,0,0,0,0,1,0,0
GO:0022824,1,0,0,0,0,0,1,0,0
GO:0004888,18,0,4,0,0,5,18,0,7
GO:0005261,3,2,0,0,0,1,3,1,1
GO:0099094,1,1,0,0,0,1,1,0,0
GO:0043235,5,0,1,0,0,2,8,1,2
GO:0098796,22,1,5,0,0,9,17,4,7
GO:1990351,3,0,0,0,0,2,1,3,1
GO:1902495,3,0,0,0,0,2,1,3,1
GO:0098797,8,0,3,0,0,6,9,3,3
GO:0034702,2,0,0,0,0,0,1,2,0
GO:0098802,4,0,1,1,0,2,7,1,0
GO:0007155,20,3,1,1,0,1,10,1,6
GO:0051726,28,6,6,1,0,8,13,5,12
GO:0031589,5,0,0,0,0,1,2,0,3
GO:0007160,5,0,0,0,0,1,2,0,1
GO:0007346,12,4,4,0,0,2,6,2,6
